,lambda_nm,spectral_intensity_mean_au,spec_int_stddev_au
438,378.545,447.4,3.7735924528226414
439,378.947,447.1,5.682429058070149
440,379.35,462.6,4.758150901348127
441,379.752,447.2,4.044749683231337
442,380.154,448.3,5.139066063011838
443,380.557,446.2,7.0256672281001205
444,380.959,447.6,5.660388679233962
445,381.362,447.0,6.148170459575759
446,381.764,452.0,6.6783231428256
447,382.167,443.9,4.253234063627347
448,382.57,443.3,5.404627646748664
449,382.972,450.3,4.450842616853577
450,383.375,447.3,5.728001396647874
451,383.778,446.7,7.759510293826538
452,384.181,446.2,7.520638270785267
453,384.584,448.1,6.220128616033594
454,384.987,451.3,6.341135544995076
455,385.39,444.1,3.8065732621348563
456,385.793,447.5,5.024937810560445
457,386.196,445.8,7.124605252222751
458,386.599,450.4,4.054626986542658
459,387.002,449.1,6.579513659838392
460,387.405,447.7,5.883026432033091
461,387.809,442.6,6.843975452907468
462,388.212,448.0,5.531726674375733
463,388.615,450.4,5.388877434122991
464,389.019,445.6,7.255342858886821
465,389.422,441.5,6.312685640834652
466,389.826,448.6,5.589275444992848
467,390.229,450.5,8.511756575466665
468,390.633,448.4,4.6946778377222005
469,391.037,444.5,3.5
470,391.44,455.4,3.8522720568516444
471,391.844,451.9,7.313685801290618
472,392.248,448.1,5.467174773134658
473,392.652,450.0,4.47213595499958
474,393.056,449.4,4.004996878900157
475,393.46,451.5,4.801041553663121
476,393.864,445.6,4.2708313008125245
477,394.268,450.4,6.452906321960671
478,394.672,444.9,5.412023651093922
479,395.076,447.3,6.753517601961218
480,395.48,448.7,5.568662316930342
481,395.884,449.6,4.34050688284214
482,396.289,447.1,6.670082458260917
483,396.693,455.6,6.390618123468182
484,397.097,445.4,7.472616676907761
485,397.502,443.1,5.769748694700662
486,397.906,442.3,6.372597586541928
487,398.311,446.1,8.312039460926542
488,398.715,447.6,7.186097689288672
489,399.12,453.9,4.887739763939974
490,399.525,447.2,4.261455150532503
491,399.929,446.3,4.754997371187496
492,400.334,445.8,4.578209256903839
493,400.739,448.8,4.915282290977803
494,401.144,447.8,7.30479294709987
495,401.548,441.1,8.178630692236935
496,401.953,446.5,7.172865536171719
497,402.358,444.8,4.489988864128729
498,402.763,447.7,8.331266410336427
499,403.169,446.8,6.645299090334459
500,403.574,447.5,5.608029957123981
501,403.979,442.0,6.418722614352485
502,404.384,445.3,8.93364427319557
503,404.789,446.9,4.678675026115834
504,405.195,446.3,4.220189569201838
505,405.6,445.8,4.915282290977803
506,406.005,446.2,6.690291473471093
507,406.411,444.0,7.54983443527075
508,406.816,444.2,5.015974481593781
509,407.222,445.1,4.763402145525821
510,407.627,444.7,4.8999999999999995
511,408.033,445.0,7.899367063252599
512,408.439,443.5,6.711929677819934
513,408.845,445.4,4.498888751680797
514,409.25,447.1,7.712976079309464
515,409.656,446.3,3.1320919526731648
516,410.062,445.4,5.660388679233962
517,410.468,446.9,7.660939890117921
518,410.874,444.7,4.605431575867781
519,411.28,444.4,5.919459434779496
520,411.686,446.9,3.9102429592034307
521,412.092,448.9,4.846648326421054
522,412.498,447.1,3.0805843601498726
523,412.904,444.3,5.568662316930343
524,413.311,444.0,4.58257569495584
525,413.717,446.3,6.450581369148056
526,414.123,446.8,6.867313885355759
527,414.53,447.3,6.753517601961218
528,414.936,444.8,7.678541528180986
529,415.343,443.9,5.593746508378798
530,415.749,444.9,9.417536832951596
531,416.156,445.8,7.756287771866126
532,416.562,446.3,5.1778373863998475
533,416.969,445.8,4.377213725647858
534,417.376,449.1,6.472248450113762
535,417.782,447.5,7.90253124005214
536,418.189,449.0,4.878524367060187
537,418.596,441.0,5.059644256269407
538,419.003,444.5,8.511756575466665
539,419.41,449.9,5.923681287847955
540,419.817,444.6,5.238320341483517
541,420.224,450.6,4.779121258139408
542,420.631,451.0,4.795831523312719
543,421.038,442.2,6.368673331236262
544,421.445,445.4,6.296030495478877
545,421.853,445.5,4.883646178829912
546,422.26,445.1,5.107837115648853
547,422.667,443.0,7.848566748139434
548,423.075,444.9,3.5902646142032486
549,423.482,447.5,7.978095010715277
550,423.89,449.5,5.6964901474504455
551,424.297,448.3,6.245798587850877
552,424.705,445.0,6.2289646009589745
553,425.112,445.3,3.195309061734091
554,425.52,449.1,6.187891401761992
555,425.928,442.3,5.64003546088143
556,426.335,441.7,3.4073450074801634
557,426.743,448.6,8.534635317340747
558,427.151,444.9,4.988987873306568
559,427.559,445.0,6.115553940568262
560,427.967,444.1,5.028916384272062
561,428.375,446.9,5.717516943569122
562,428.783,448.7,6.957729514719584
563,429.191,445.5,6.2809234989768825
564,429.599,445.1,8.371977066380438
565,430.007,450.4,5.276362383309167
566,430.415,443.8,4.489988864128729
567,430.824,445.6,5.37028863283902
568,431.232,443.7,7.6032887621081455
569,431.64,446.1,4.011234224026316
570,432.049,446.0,5.0
571,432.457,445.5,7.88986691902975
572,432.865,441.3,6.5429351211822375
573,433.274,446.0,5.477225575051661
574,433.683,442.8,4.6
575,434.091,448.2,6.7646138101151045
576,434.5,445.2,6.289674077406556
577,434.909,450.8,6.19354502688081
578,435.317,445.2,6.029925372672533
579,435.726,446.0,4.6475800154489
580,436.135,450.9,5.008991914547277
581,436.544,446.1,8.407734534343957
582,436.953,444.4,8.06473806146238
583,437.362,447.9,4.699999999999999
584,437.771,451.1,7.006425622241343
585,438.18,445.5,4.904079934095692
586,438.589,445.1,6.204030947698439
587,438.998,444.9,3.3301651610693423
588,439.408,506.6,8.077128202523468
589,439.817,442.1,6.024118192731613
590,440.226,445.3,6.573431371817918
591,440.636,446.2,7.3999999999999995
592,441.045,445.4,3.5552777669262356
593,441.454,443.1,5.940538696111658
594,441.864,448.6,6.916646586316232
595,442.273,445.5,4.695742752749559
596,442.683,450.6,4.565084884205331
597,443.093,449.4,4.476605857119878
598,443.502,441.2,6.161168720299745
599,443.912,444.8,6.30555310817378
600,444.322,443.4,5.37028863283902
601,444.732,448.0,4.8166378315169185
602,445.142,447.9,4.948737212663449
