Wavelength[nm],Intensity[normalized],Phase[rad]
787.08,0.99205182,0.05202157
787.52,1.00000000,0.14849095
787.96,0.95492850,0.24130285
788.40,0.88242676,0.32972298
788.83,0.80690753,0.41326121
789.27,0.74486326,0.49215984
789.71,0.69398552,0.56519630
790.15,0.65305033,0.63236878
790.58,0.64462208,0.69343128
791.02,0.68097752,0.74764956
791.46,0.72606484,0.79453351
791.90,0.73201355,0.82773366
792.33,0.69413766,0.84041225
792.77,0.63420904,0.84550693
793.21,0.56445924,0.84326002
793.65,0.48998937,0.83391387
794.08,0.41353645,0.81771082
794.52,0.33699842,0.79489322
794.96,0.26775483,0.76570342
795.39,0.21552322,0.73038377
795.83,0.18385580,0.68917665
796.27,0.16760481,0.64256854
796.71,0.15791939,0.59031355
797.14,0.14766335,0.53314234
797.58,0.13416956,0.46885586
798.02,0.12092995,0.38988401
798.45,0.11451981,0.30696722
798.89,0.11650158,0.22059203
799.33,0.12053987,0.13173325
799.77,0.11939842,0.04112157
800.20,0.11328677,-0.05100061
800.64,0.11041208,-0.14365846
801.08,0.11871039,-0.23636542
801.51,0.13856144,-0.32814664
801.95,0.16408985,-0.41875972
802.39,0.18788977,-0.50722979
802.82,0.20650194,-0.59307029
803.26,0.22320875,-0.67530635
803.70,0.23887979,-0.73929124
804.13,0.24699230,-0.79503643
804.57,0.24693938,-0.84644985
805.01,0.24543193,-0.89377733
805.44,0.24101027,-0.93628814
805.88,0.22717939,-0.97471637
806.31,0.20614706,-1.00857542
806.75,0.18603968,-1.03786696
807.19,0.17291475,-1.06259265
807.62,0.17011421,-1.08251003
808.06,0.17755774,-1.09786487
808.50,0.18994435,-1.10841472
808.93,0.20025897,-1.11416120
809.37,0.20571674,-1.11168800
809.81,0.20966635,-1.09245183
810.24,0.21728689,-1.06914966
810.68,0.22971982,-1.04178311
811.11,0.24364926,-1.01059795
811.55,0.25544690,-0.97657238
811.99,0.26624206,-0.93995215
812.42,0.28071149,-0.90073887
812.86,0.29885463,-0.85991074
813.29,0.31515762,-0.81795764
813.73,0.32724415,-0.77463703
814.16,0.33818122,-0.73117122
814.60,0.35004111,-0.68756181
815.04,0.36152667,-0.64405453
815.47,0.37119877,-0.60821933
815.91,0.37898342,-0.58201092
816.34,0.38451608,-0.55688597
816.78,0.38534374,-0.53260190
817.21,0.37789519,-0.50940444
817.65,0.36134696,-0.48705102
818.09,0.33939966,-0.46529906
818.52,0.31772820,-0.44463841
818.96,0.30011092,-0.42433820
819.39,0.28669883,-0.40513241
819.83,0.27677721,-0.38629017
820.26,0.26950258,-0.36830131
820.70,0.26270372,-0.35067909
821.13,0.25606225,-0.33366920
821.57,0.25145152,-0.31629660
822.00,0.24979996,-0.29807455
822.44,0.25088941,-0.28046942
822.87,0.25329142,-0.26348274
823.31,0.25475329,-0.24662775
823.75,0.25438832,-0.23063838
824.18,0.25264851,-0.21502787
824.62,0.25002930,-0.19979773
825.05,0.24773169,-0.18519361
825.49,0.24853904,-0.17121701
825.92,0.25436538,-0.15786943
826.36,0.26352967,-0.14490822
