,lambda_nm,spectral_intensity_mean_au,spec_int_stddev_au
120,253.056,450.0064935064935,5.681476798649638
121,253.443,452.77272727272725,6.277689548590066
122,253.83,450.987012987013,6.18438231226425
123,254.217,451.35064935064935,6.5787265056002
124,254.604,450.64935064935065,6.665020598493582
125,254.991,453.6753246753247,6.69646458077685
126,255.378,453.66883116883116,7.403978567894004
127,255.766,451.0844155844156,7.0489488013400265
128,256.153,451.73376623376623,6.739149246657919
129,256.541,451.75324675324674,6.1001508266553595
130,256.928,453.07142857142856,5.805401809261428
131,257.315,453.44805194805195,7.185882812119133
132,257.703,453.987012987013,6.784232113030012
133,258.091,452.1233766233766,6.768268133982246
134,258.478,452.6623376623377,6.504963917985699
135,258.866,452.15584415584414,6.335972203846886
136,259.254,452.6363636363636,6.513540523669353
137,259.641,452.3831168831169,6.849208933323055
138,260.029,454.05194805194805,6.649667707538325
139,260.417,453.3051948051948,6.197326530922992
140,260.805,450.7012987012987,6.957318738397765
141,261.193,451.8961038961039,6.733487577046869
142,261.581,451.6363636363636,6.108136134419379
143,261.969,450.88961038961037,6.561954183423305
144,262.357,452.09090909090907,6.958470159867145
145,262.745,450.5974025974026,6.1660143945047645
146,263.134,451.038961038961,6.832773501716178
147,263.522,451.9025974025974,6.665251508314156
148,263.91,452.2077922077922,6.61626814878014
149,264.299,451.1948051948052,6.28136588884802
150,264.687,452.07142857142856,6.188706873360415
151,265.076,452.8376623376623,6.194332117306162
152,265.464,452.74675324675326,6.78956579939451
153,265.853,450.3181818181818,6.926988950113467
154,266.241,450.5779220779221,6.077190126866527
155,266.63,453.7857142857143,6.47769829022212
156,267.019,451.15584415584414,6.700581356954569
157,267.407,450.5779220779221,6.508518361858974
158,267.796,451.1818181818182,6.697988208773157
159,268.185,451.3181818181818,6.462383205460261
160,268.574,451.0194805194805,6.735707118001095
161,268.963,451.6753246753247,7.195672506212593
162,269.352,453.37012987012986,6.229330808425254
163,269.741,450.9025974025974,6.730208580661822
164,270.13,453.2987012987013,6.844402272603438
165,270.519,452.93506493506493,6.413941111375992
166,270.908,453.56493506493507,5.409137680844232
167,271.297,452.0,6.871737714783592
168,271.687,454.6753246753247,6.910262570314517
169,272.076,450.7077922077922,6.896192554520943
170,272.465,453.2792207792208,6.771307642178343
171,272.855,453.3181818181818,6.719524319758448
172,273.244,451.42857142857144,5.30970337281054
173,273.634,452.85064935064935,6.503527981159175
174,274.023,457.8831168831169,5.774943696749264
175,274.413,458.40909090909093,6.870427533875097
176,274.803,452.22727272727275,6.558946232350637
177,275.192,451.03246753246754,6.109837533887808
178,275.582,450.1038961038961,6.241013103706333
179,275.972,452.40909090909093,6.322104733746732
180,276.362,454.95454545454544,6.309486682447775
181,276.752,451.2857142857143,6.5044582969336675
182,277.141,452.6818181818182,6.8799582313879935
183,277.531,449.9025974025974,6.558200458471802
184,277.922,451.1623376623377,7.216927053377804
185,278.312,453.09090909090907,6.680426571226849
186,278.702,453.05194805194805,6.776383941452603
187,279.092,454.12987012987014,6.147221205924045
188,279.482,450.07142857142856,6.510837262233448
189,279.872,451.88961038961037,6.014659244066096
190,280.263,452.7402597402597,6.465498037088869
191,280.653,453.06493506493507,6.271638205046931
192,281.044,453.27272727272725,7.040949544206473
193,281.434,452.85064935064935,6.575024040776221
194,281.825,451.37012987012986,7.062753315720297
195,282.215,450.95454545454544,5.805663277532528
196,282.606,452.2077922077922,7.1493123133784655
197,282.996,451.9220779220779,6.7866680495444385
198,283.387,453.31168831168833,7.354227938959675
199,283.778,452.7142857142857,6.696300864583127
200,284.169,452.5064935064935,6.721980568957217
201,284.56,450.8636363636364,6.046430933749246
202,284.95,453.06493506493507,6.198738167233181
203,285.341,454.24675324675326,6.931306438119213
204,285.732,451.6818181818182,7.15115515639524
205,286.123,451.7142857142857,7.131159252323826
206,286.515,451.5974025974026,6.802901864129765
207,286.906,450.35714285714283,6.371281519472443
208,287.297,451.92857142857144,6.713145799892345
209,287.688,450.35714285714283,6.523363178714644
210,288.079,449.6168831168831,6.475927504094401
211,288.471,449.7142857142857,6.641774803600615
212,288.862,451.38961038961037,7.0933585988472405
213,289.254,452.27272727272725,7.016930108416286
214,289.645,452.4935064935065,6.777777624168937
215,290.037,449.512987012987,6.526904372529369
216,290.428,449.8051948051948,6.3410412538344385
217,290.82,450.012987012987,7.145961544986703
218,291.212,451.93506493506493,7.031169310925489
219,291.603,451.37012987012986,6.586045163239052
220,291.995,451.92857142857144,6.633354465553394
221,292.387,452.461038961039,6.499883232600645
222,292.779,453.2987012987013,5.893128146607368
223,293.171,451.8376623376623,6.690243700277374
224,293.563,454.3051948051948,6.7625092573361645
225,293.955,451.40909090909093,5.828293769574663
226,294.347,449.84415584415586,7.074859339733283
227,294.739,450.6623376623377,6.685146142824347
228,295.131,449.7597402597403,6.728554383251968
229,295.523,451.5779220779221,6.5184876617606315
230,295.915,451.83116883116884,6.667234472924329
231,296.308,451.22727272727275,6.862776242657824
232,296.7,454.0974025974026,7.259359816251803
233,297.092,452.2077922077922,6.993202009554188
234,297.485,450.96753246753246,6.396446691321663
